title,language,issn,issn2
journal of multidisciplinary scientific research,Text in English,2307-6976,NA
african journal of science and research,Text in English,2306-5877,NA
zambia social science journal,Text in English,2079-5521,NA
journal of peace and security studies,Text in English,2311-7168,NA
african journal of transformational scholarship,Text in English,1821-9683,NA
east african journal of research,Text in English,1821-9551,NA
general education journal,Text in English,1821-9616,NA
tanzania journal of agricultural sciences,Text in English,1821-9144,NA
tanzania journal of sociology,Text in English,1821-9632,1821-9721
panafrican journal of business management,Text in English,1821-9993,1821-9985
tanzania journal of forestry and nature conservation,Text in English,2408-8129,2408-8137
tengeru community development journal,Text in English,1821-9853,NA
revue tunisienne detudes hispaniques,Text in Spanish | Text in French | Text in English,2286-5977,NA
special bacterial pathogens journal,Text in English,2413-600X,NA
journal of preventive and rehabilitative medicine,Text in English,2415-038X,NA
lst clinical journal,Text in English,2467-4664,NA
lst review journal,Text in English,2467-4672,NA
mkwawa journal of education and development,Text in English,2453-6040,2453-6059
international journal of technology and management,Text in English,2518-8623,NA
journal of building and land development,Text in English,0856-0501,2507-7716
journal of sociology and development,Text in English,2507-7783,NA
rural planning journal,Text in English,0856-3462,2507-7848
sanaa,Text in English,2507-7775,NA
tanzania economic review,Text in English,2507-7740,NA
tunisian journal of plant protection,Text in English,1737-5436,2490-4368
zambian open university law journal,Text in English,2414-2786,NA
makerere business journal,Text in English,2219-9284,2521-5590
international journal of humanities and cultural studies,Text in English,2356-5926,NA
zambia ict journal,Text in English,2616-2156,NA
business management review,Text in English,2546-213X,NA
the operations research society of eastern africa journal,Text in English,1821-7567,2591-6947
business education journal,Text in English,2546-2180,NA
managing development in africa,Text in English,2546-2040,2546-2032
east african journal of applied health monitoring and evaluation,Text in English,2591-6769,NA
journal of linguistics and language in education,Text in English,2546-2164,NA
kioo cha lugha,Text in Swahili,2546-2210,NA
tanzania journal of development studies,Text in English,0856-9622,2591-6831
tanzania journal of science and technology,Text in English,2591-6742,NA
academic finance,Text in French | Text in English,1923-2993,NA
western indian ocean journal of marine science,Text in English,0856-860X,NA
arab journal of nephrology and transplantation,Text in English,1858-554X,NA
african journal of economic review,Text in English,null,NA
african journal of rural development,Text in English,2415-2838,NA
kiu journal of humanities,Text in English,2415-0843,2522-2821
special fungal pathogens journal,Text in English,2518-0053,NA
journal of new sciences,Text in English,2286-5314,NA
journal of oasis agriculture and sustainable development,Text in French | Text in Arabic | Text in English,2724-699X,2724-7007
