title;research_area;country;issn;issn2
annals of medical and health sciences research;medical sciences;nigeria;2277-9205;NA
annals of the eastern cape museums;museums and art galleries sciences: comprehensive works;south africa;1562-5273;NA
annual international applied research conference;sciences: comprehensive works;ghana;2508-1101;NA
annual review of chaos theory bifurcations and dynamical systems;mathematics physics;algeria;2253-0371;NA
annual review of islam in south africa;religions and theology - islamic;south africa;null;NA
annual survey of south african law;law;south africa;0376-4605;NA
apa;psychology;nigeria;null;NA
applied animal husbandry rural development;agriculture - poultry and livestock;south africa;2312-8747;NA
applied journal of environmental engineering science;environmental studies chemistry;morocco;2509-2065;NA
applied research conference in africa;technology: comprehensive works;ghana;2590-9614;NA
applied sciences research journal;technology: comprehensive works;nigeria;2354-256X;NA
apri journal;political science - international relations;nigeria;null;NA
apt journal of multidisciplinary research;humanities: comprehensive works sciences: comprehensive works;ghana;2408-7866;NA
arab historical review for ottoman studies;history - history of africa history - history of the near east;tunisia;null;NA
arab journal of biotechnology;biology - biotechnology;egypt arab republic of egypt;1110-6875;NA
arab journal of language studies;education - teaching methods and curriculum linguistics;sudan;null;NA
arab journal of nephrology and transplantation;medical sciences - urology and nephrology;sudan;1858-554X;NA
arab journal of nuclear sciences and applications;energy - nuclear energy;egypt arab republic of egypt;1110-0451;2090-4258
arab media society;communications;egypt arab republic of egypt;1687-7721;NA
arab medical bulletin;medical sciences;sudan;0254-9492;NA
arab universities journal of agricultural sciences;agriculture;egypt arab republic of egypt;1110-2675;2636-3585
arabian journal of medicinal and aromatic plants;agriculture biology - botany;morocco;2458-5920;NA
archaeologia zambiana;archaeology;zambia;0570-6068;NA
archives of basic and applied medicine;medical sciences;nigeria;2384-6232;2360-9680
archives of biomedical sciences and health;medical sciences;nigeria;2354-2578;NA
archives of ibadan medicine;medical sciences;nigeria;1467-6958;NA
archivesr;sciences: comprehensive works;egypt arab republic of egypt;2537-0154;2537-0162
argiefjaarboek vir suidafrikaanse geskiedenis;history - history of africa library and information sciences;south africa;null;NA
arid zone journal of engineering technology and environment;engineering technology: comprehensive works;nigeria;1596-2644;2545-5818
aros joernaal;religions and theology - protestant;south africa;2523-1375;NA
aru convocation newsletter;college and alumni;tanzania united republic of;1821-9314;NA
arumaruka;philosophy;nigeria;2788-7928;NA
asemka;literature;ghana;0855-000X;NA
asia africa forum;political science - international relations ethnic interests;nigeria;null;NA
assefn journal of national development and growth;business and economics - economic situation and conditions;nigeria;2449-2116;NA
assiut journal of agricultural sciences;agriculture;egypt arab republic of egypt;1110-0486;NA
assiut journal of environmental studies overview series;environmental studies;egypt arab republic of egypt;1110-2918;NA
assiut medical journal;medical sciences;egypt arab republic of egypt;1110-0494;NA
assiut university journal of botany;biology - botany;egypt arab republic of egypt;1687-4927;NA
assiut university journal of chemistry;chemistry;egypt arab republic of egypt;1687-4919;NA
assiut university journal of geology;earth sciences - geology;egypt arab republic of egypt;1687-4943;NA
assiut university journal of mathematics and computer science;mathematics;egypt arab republic of egypt;1687-4897;NA
assiut university journal of physics;physics;egypt arab republic of egypt;1687-4900;NA
assiut veterinary medical journal;veterinary science;egypt arab republic of egypt;1012-5973;2314-5226
association of african universities corevip proceedings;education - higher education;ghana;null;NA
association of african universities report of the general conference;education - higher education;ghana;null;NA
association of surgeons of east africa newsletter;medical sciences - surgery;zambia;null;NA
astronomical society of southern africa monthly notes;astronomy;south africa;0024-8266;2224-8366
aswan university journal of environmental studies;environmental studies;egypt arab republic of egypt;2735-4237;2735-4229
attaalim;education;mauritania;null;NA
azilo journal of humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;nigeria;2504-9631;NA
babcock university medical journal;medical sciences;nigeria;2465-6666;2756-4657
bahir dar journal of education;education;ethiopia;1816-336X;2415-0452
banha veterinary medical journal;veterinary science;egypt arab republic of egypt;1110-6581;NA
barrister;law;nigeria;0331-0086;NA
basic research journal of agricultural science and review;agriculture;nigeria;2315-6880;NA
basic research journal of business management and accounts;business and economics - management;nigeria;2315-6899;NA
basic research journal of education research and review;education;nigeria;2315-6872;NA
basic research journal of food science and technology;food and food industries;nigeria;2354-4074;NA
basic research journal of microbiology;biology - microbiology;nigeria;2354-4082;NA
basic research journal of social and political sciences;political science sociology;nigeria;2465-7220;NA
basic research journal of soil and environmental science;agriculture - crop production and soil;nigeria;2354-4090;NA
batna journal of medical sciences;biology medical sciences;algeria;2437-0665;NA
bayero international journal of islamic finance;business and economics - banking and finance;nigeria;2504-9798;NA
bayero journal of engineering and technology;engineering;nigeria;2449-0539;NA
bayero journal of evidencebased physiotherapy;medical sciences - physical medicine and rehabilitation;nigeria;2489-0251;NA
